,mfmc,mfmc ams,mlmc,mlmc ams,acvmfu,acvmfu ams,acvmf,acvmf ams,acvmfmc,acvmfmc ams,acvkl,acvkl ams,gmfsr,gmfsr ams,gmfmr,gmfmr ams,acvis,acvis ams,gissr,gissr ams,gismr,gismr ams,wrdiff,wrdiff ams,grdsr,grdsr ams,grdmr,grdmr ams
10,0.0005734837285091103,0.0005734837285091103,0.0005480204822789886,0.0005480204822789886,0.00047928810174806806,0.00047260509788557976,0.00048096919123538986,0.00048096919123538986,0.0005734837285091111,0.0005734837285091111,0.0003981637544680201,0.0003981637544680201,0.00039066769500284367,0.00039066769500284367,0.00039066769500284367,0.00039066769500284367,0.0009343219289329871,0.0009314137132322701,0.0005012202438461817,0.0005012202438461817,0.00041073567244080136,0.00041073567244080136,0.00041073567244080455,0.00041073567244080455,0.0005012202438461817,0.0005012202438461817,0.00041073567244080455,0.00041073567244080455
20,0.00026993808882313196,0.00026993808882313196,0.00028710357816726247,0.00028710357816726247,0.00023919611734371903,0.00022299020618348134,0.0002760753815249168,0.00026649225468389654,0.00026993808882313125,0.00026993808882313125,0.00022105580144920364,0.00022105580144920364,0.00018750947543572674,0.00018750947543572674,0.00018750947543572674,0.00018750947543572674,0.00046720009917847123,0.0004391504323806475,0.000234287405746108,0.000234287405746108,0.0002041720707556638,0.0002041720707556638,0.00020417207075566537,0.00020417207075566537,0.00023428740574611275,0.00023428740574611275,0.00020417207075566537,0.00020417207075566537
40,0.00013493539521166383,0.00013493539521166383,0.00013966599285054649,0.00013966599285054649,0.00011603321296363627,0.0001086270256895019,0.00017520551768652437,0.00010867894430604261,0.00013493539521166356,0.00013493539521166356,9.59618656360298e-05,9.59618656360298e-05,9.349573154882313e-05,9.349573154882313e-05,9.349573154882313e-05,9.349573154882313e-05,0.00022662555887671633,0.0002137955749720607,0.000117143702873054,0.000117143702873054,0.0001018000013800816,0.0001018000013800816,0.0001018000013800816,0.0001018000013800816,0.00011714370287305637,0.00011714370287305637,0.0001018000013800816,0.0001018000013800816
80,6.745930642460115e-05,6.745930642460115e-05,6.885165407441478e-05,6.885165407441478e-05,5.798073591382045e-05,5.431351284475095e-05,8.446083381477581e-05,5.4319066669505636e-05,6.74593064246011e-05,6.74593064246011e-05,4.6880524328475947e-05,4.6880524328475947e-05,4.674728543966242e-05,4.674728543966242e-05,4.674728543966242e-05,4.674728543966242e-05,0.00011168241638696193,0.00010688310580657569,5.8571851436527e-05,5.8571851436527e-05,5.0822116167523736e-05,5.0822116167523736e-05,5.082211616752452e-05,5.082211616752452e-05,5.857185143652819e-05,5.857185143652819e-05,5.082211616752452e-05,5.082211616752452e-05
