,mfmc,mfmc ams,mlmc,mlmc ams,wrdiff,wrdiff ams,acvmf,acvmf ams,acvmfu,acvmfu ams,acvmfmc,acvmfmc ams,acvis,acvis ams,acvkl,acvkl ams,gmfsr,gmfsr ams,gmfmr,gmfmr ams,gissr,gissr ams,gismr,gismr ams,grdsr,grdsr ams,grdmr,grdmr ams
15,2.499162181393306e-05,2.4562821374629878e-05,3.442426755064927e-05,2.926323170512721e-05,2.4004134538121674e-05,2.4004134538121674e-05,3.681964801654109e-05,2.9707429447598124e-05,3.761264856602978e-05,2.9417232694633564e-05,2.499162181393298e-05,2.4562821374630095e-05,4.5275658674881106e-05,3.241112315420067e-05,2.2730632359654658e-05,2.2730632359654658e-05,2.2390690920092783e-05,2.165645223761134e-05,2.0427171096956897e-05,2.0427171096956897e-05,2.4736560967550472e-05,2.2484334159936884e-05,2.368924760160888e-05,2.2484334159936884e-05,2.4736560967550472e-05,2.248433415993676e-05,2.3689247601609127e-05,2.248433415993676e-05
30,1.1968019323556757e-05,1.1698357482642645e-05,1.7322490955954467e-05,1.4654458447963916e-05,1.1459831359053788e-05,1.1459831359053788e-05,1.829485680843872e-05,1.4851000731237676e-05,1.796719547599048e-05,1.4696099694121988e-05,1.196801932355654e-05,1.1698357482642477e-05,2.017922776637112e-05,1.6205561577100335e-05,1.1271027861193747e-05,1.1170228085582129e-05,1.1044939585432058e-05,1.0814895260217046e-05,1.0147394658853935e-05,1.0147394658853935e-05,1.2347289891309897e-05,1.1228945958784208e-05,1.1459831359053578e-05,1.1228945958784208e-05,1.234728989131034e-05,1.1228945958784023e-05,1.1459831359053788e-05,1.1228945958784023e-05
60,5.966311499863762e-06,5.743885810066034e-06,8.5134049991476e-06,7.2013366166657305e-06,5.72867867956312e-06,5.72867867956312e-06,8.861442002380979e-06,7.42482022877671e-06,8.793537546995342e-06,7.217215373902282e-06,5.96631149986373e-06,5.743885810065994e-06,8.645709510855014e-06,8.102780788550167e-06,5.600330205586797e-06,5.477685690153398e-06,5.524837015047337e-06,5.4066436988692675e-06,5.057961006177304e-06,5.057961006177304e-06,5.909946738015903e-06,5.610170439171263e-06,5.728678679562962e-06,5.610170439171263e-06,5.909946738015936e-06,5.610170439171263e-06,5.72867867956312e-06,5.610170439171263e-06
