,mfmc,mfmc ams,mlmc,mlmc ams,wrdiff,wrdiff ams,acvmf,acvmf ams,acvmfu,acvmfu ams,acvmfmc,acvmfmc ams,acvis,acvis ams,acvkl,acvkl ams,gmfsr,gmfsr ams,gmfmr,gmfmr ams,gissr,gissr ams,gismr,gismr ams,grdsr,grdsr ams,grdmr,grdmr ams
15,6.379983723453573e-05,6.096307501749117e-05,9.479076515826949e-05,9.407208862127232e-05,4.881646754102108e-05,4.803040702435675e-05,4.587507213282812e-05,3.8588946020019446e-05,6.727749428453076e-05,3.847502338249305e-05,6.379983723453588e-05,6.096307501749132e-05,6.740555177505663e-05,6.329207401867773e-05,4.587507213282812e-05,3.8588946020019446e-05,3.2459510842798525e-05,3.2459510842798525e-05,3.2459510842798525e-05,3.2459510842798525e-05,5.1055853439379176e-05,5.1033302992840864e-05,4.5001693950047645e-05,4.5001693950047645e-05,5.105585343937943e-05,5.1033302992840864e-05,4.5001693950047896e-05,4.5001693950047896e-05
30,3.188215521382552e-05,2.9348996416863195e-05,4.5798528281889165e-05,4.540795926533356e-05,2.440172022022078e-05,2.3936189318684735e-05,2.1352119087409423e-05,1.925557569576923e-05,2.637092493310627e-05,1.9010135985252212e-05,3.1882155213825595e-05,2.9348996416863398e-05,3.650136304484571e-05,3.0519713960167696e-05,2.1352119087409423e-05,1.925557569576923e-05,1.5703041308743744e-05,1.5703041308743744e-05,1.5703041308743744e-05,1.5703041308743744e-05,2.5527374978200113e-05,2.5438867989884404e-05,2.1578043125701617e-05,2.1578043125701617e-05,2.552737497819999e-05,2.543886798988422e-05,2.1578043125701502e-05,2.1578043125701502e-05
60,1.564720832096807e-05,1.4654798001427645e-05,2.2940203360012773e-05,2.271024123301131e-05,1.2177726155662809e-05,1.1964707841050741e-05,1.0508230476547468e-05,9.468555233600645e-06,1.3253319984999194e-05,9.447886788796791e-06,1.564720832096813e-05,1.4654798001427727e-05,1.8253509644713292e-05,1.5256568945472209e-05,1.0508230476547468e-05,9.468555233600645e-06,7.72624458262093e-06,7.72624458262093e-06,7.682630512944293e-06,7.682630512944293e-06,1.2493207241987701e-05,1.24743771200325e-05,1.0565884184107373e-05,1.0565884184107373e-05,1.246732015780291e-05,1.246732015780291e-05,1.0565884184107373e-05,1.0565884184107373e-05
