,mfmc,mfmc ams,mlmc,mlmc ams,acvmfu,acvmfu ams,acvmf,acvmf ams,acvmfmc,acvmfmc ams,acvkl,acvkl ams,gmfsr,gmfsr ams,gmfmr,gmfmr ams,acvis,acvis ams,gissr,gissr ams,gismr,gismr ams,wrdiff,wrdiff ams,grdsr,grdsr ams,grdmr,grdmr ams
10,0.0003143486550245232,0.0003143486550245232,0.00031017899801219484,0.00031017899801219484,9.944602221656982e-05,8.670367465979126e-05,0.00010495446949018577,0.00010495446949018577,0.0003143486550245251,0.0003143486550245251,0.00010495446949018577,0.00010495446949018577,9.944602221656982e-05,8.670367465979126e-05,9.944602221656982e-05,8.670367465979126e-05,0.0005008965381903014,0.0005001239598365687,0.0002884772616308013,0.00025888368472985973,0.00017379216993003045,0.00017379216993003045,0.00021368531071865783,0.00021368531071865783,0.0002884772616307978,0.00025888368472986207,0.00017379216993003045,0.00017379216993003045
20,0.0001483255846864706,0.0001483255846864706,0.00015518043741582154,0.00015518043741582154,5.768300748924773e-05,4.335183732989563e-05,5.965006399826268e-05,4.9866120817921314e-05,0.00014832558468647037,0.00014832558468647037,5.398267038836608e-05,4.9866120817921314e-05,5.039438443046632e-05,4.335183732989563e-05,4.644116552082016e-05,4.335183732989563e-05,0.0003343533154424227,0.000234952833992142,0.00013143528663844156,0.00012825376871612322,8.689196162222498e-05,8.689196162222498e-05,0.00010619251811059811,0.00010619251811059811,0.00013143528663844332,0.0001282537687161176,8.689196162222733e-05,8.689196162222733e-05
40,7.416078894626138e-05,7.416078894626138e-05,7.761104905705022e-05,7.761104905705022e-05,2.679468022763275e-05,2.167002742802428e-05,2.9579869093716867e-05,2.4813944318059852e-05,7.416078894626152e-05,7.416078894626152e-05,2.5987640488283246e-05,2.4813944318059852e-05,2.5437612893847464e-05,2.167002742802428e-05,2.5437612893847464e-05,2.167002742802428e-05,0.0001550562290022151,0.000114290381490664,6.560267406422039e-05,6.19911678352303e-05,4.195870595983162e-05,4.195870595983162e-05,5.144136018252106e-05,5.144136018252106e-05,6.560267406422039e-05,6.199116783523285e-05,4.195870595983162e-05,4.195870595983162e-05
80,3.656039557574939e-05,3.656039557574939e-05,3.825643035285285e-05,3.825643035285285e-05,1.3386112786338947e-05,1.0835000345383853e-05,1.4429970408679311e-05,1.2034993313679524e-05,3.6560395575749934e-05,3.6560395575749934e-05,1.278484601364346e-05,1.2034993313679524e-05,1.2518762773388242e-05,1.0835000345383853e-05,1.240966856623799e-05,1.0835000345383853e-05,6.074389849640011e-05,5.6398652203942164e-05,3.0764027872140616e-05,3.0764027872140616e-05,2.067565967279074e-05,2.067565967279074e-05,2.5717160697592543e-05,2.5717160697592543e-05,3.100142491884741e-05,3.099554515804912e-05,2.067565967279074e-05,2.067565967279074e-05
