,mfmc,mfmc ams,mlmc,mlmc ams,wrdiff,wrdiff ams,acvmf,acvmf ams,acvmfu,acvmfu ams,acvmfmc,acvmfmc ams,acvis,acvis ams,acvkl,acvkl ams,gmfsr,gmfsr ams,gmfmr,gmfmr ams,gissr,gissr ams,gismr,gismr ams,grdsr,grdsr ams,grdmr,grdmr ams
15,9.439884486046489e-05,9.15017068074676e-05,0.00012166660736924729,0.00012082656540602388,8.839809847763118e-05,8.138120260015803e-05,3.9083158057404565e-05,3.8588946020019446e-05,4.1083212403871604e-05,3.847502338249305e-05,9.439884486046491e-05,9.150170680746744e-05,6.329207401867773e-05,6.329207401867773e-05,3.901839382156347e-05,3.8588946020019446e-05,3.8846701324730705e-05,3.847502338249305e-05,3.8846701324730705e-05,3.847502338249305e-05,5.124125911800586e-05,5.124125911800586e-05,5.124125911800586e-05,5.124125911800586e-05,5.124125911800586e-05,5.124125911800586e-05,5.124125911800586e-05,5.124125911800586e-05
30,4.717017665326284e-05,4.417811672522234e-05,6.0866567093454576e-05,6.044654611184287e-05,4.259439770298811e-05,4.066202993607294e-05,2.9050348515306117e-05,1.925557569576923e-05,1.9010135985252212e-05,1.9010135985252212e-05,4.717017665326285e-05,4.41781167252223e-05,3.053436221779747e-05,3.0519713960167696e-05,1.94448746379953e-05,1.925557569576923e-05,1.9010135985252212e-05,1.9010135985252212e-05,1.9010135985252212e-05,1.9010135985252212e-05,2.560639048791571e-05,2.560639048791571e-05,2.560639048791571e-05,2.560639048791571e-05,2.5606390487915794e-05,2.5606390487915794e-05,2.5606390487915794e-05,2.5606390487915794e-05
60,2.318388948725818e-05,2.2084299222581893e-05,3.0442738867479126e-05,3.0225257608748453e-05,2.09276659813579e-05,2.033101496803647e-05,9.733639482987591e-06,9.468555233600645e-06,9.717378266308569e-06,9.447886788796791e-06,2.3183889487258176e-05,2.2084299222581893e-05,1.526351728991676e-05,1.5256568945472209e-05,9.548234391359766e-06,9.468555233600645e-06,9.542477071387325e-06,9.447886788796791e-06,9.542477071387325e-06,9.447886788796791e-06,1.2579863373391368e-05,1.2579863373391368e-05,1.2579863373391368e-05,1.2579863373391368e-05,1.2579863373391407e-05,1.2579863373391407e-05,1.2579863373391407e-05,1.2579863373391407e-05
